program_name,description,deadline,funding_low,funding_high,eligibility,interests,application_link,url,source,scraped_at
Grant Empowering Indigenous-Led Community Health and Culture Projects in Ontario (Canada),"View Full Grant Details Funding is available to support Indigenous-led initiatives addressing social, health, and community needs. Eligible projects may receive grants ranging from $5,000 to $25,000. Open to Indigenous organizations and groups. Application deadlines occur twice annually Supports Indigenous-led programs that promote health, education, culture, and community building in Canada. Funding seeks to assist Indigenous leaders and community organizations best familiar with their own communities. The fund provides support for initiatives that are centered on the revitalization of intergenerational languages, and access to education. Groups that aren’t Indigenous-led can still apply, but only if they’re working closely with an Indigenous group. View Full Grant Details",Ongoing,"$5,000","$25,000","Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Community Development & Services; Community/Economic Development; Education; Elementary Education; Environment; Health & Medical; Higher Education; Mental Health; Natural Resources; Non-Profit Support Services; Secondary Education; Native American Tribal Organizations (Federally recognized); Non-Profit Organizations with 501(c)(3) designation","Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Community Development & Services; Community/Economic Development; Education; Elementary Education; Environment; Health & Medical; Higher Education; Mental Health; Natural Resources; Non-Profit Support Services; Secondary Education; Native American Tribal Organizations (Federally recognized); Non-Profit Organizations with 501(c)(3) designation",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73870/grant-empowering-indigenous-led-community-health-and-culture-projects?page=5,The Grant Portal,2025-10-04T17:47:53.998212
Grants for Youth Health & Education Programs Across Canada in Ontario (Canada),"View Full Grant Details Funds health and education programs for youth in Canadian communities. The program must assist young people up to age 29 in Canada, and emphasize health or education. Priority will be given to initiatives that creatively apply technology to enhance their outcomes... View Full Grant Details",Ongoing,"$10,000","$20,000",Education; Health & Medical; Non-Profit Support Services; Technology; Youth/Out-of-School Youth; Non-Profit Organizations with 501(c)(3) designation,Education; Health & Medical; Non-Profit Support Services; Technology; Youth/Out-of-School Youth; Non-Profit Organizations with 501(c)(3) designation,https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73864/grants-for-youth-health-education-programs-across-canada?page=5,The Grant Portal,2025-10-04T17:48:00.217753
Grant Investing in Inclusive Prosperity through Community Partnerships in Ontario (Canada),"View Full Grant Details Grants committed to advancing economic prosperity through its community investment program, which encompasses corporate donations and sponsorships. Through funding community organizations that provide education, thought leadership, entrepreneurial inspiration, skill development, and experiential learning, the initiative seeks to support entrepreneurship. The group strive to foster inclusive opportunities for every Canadian. Organizations may receive financial support to implement programs that: Provide education, thought leadership, and entrepreneurial inspiration Offer skill development and experiential learning opportunities Remove barriers to financial empowerment, mentorship, and business opportunities Funding amounts vary based on the scope and impact of the initiative. Requests exceeding $25,000 undergo a quarterly review by a governance group. Applicants can typically expect a response within 6 to 8 weeks. View Full Grant Details",Ongoing,$300,"$500,000","Business & Commerce; Community/Economic Development; Education; Employment, Labor & Training Workforce; Financial Assistance; Higher Education; Municipalities; Non-Profit Support Services; Independent Schools; Local Government; Municipalities; Non-Profit Organizations with 501(c)(3) designation; Private institutions of higher education; Public and State controlled institutions of higher education","Business & Commerce; Community/Economic Development; Education; Employment, Labor & Training Workforce; Financial Assistance; Higher Education; Municipalities; Non-Profit Support Services; Independent Schools; Local Government; Municipalities; Non-Profit Organizations with 501(c)(3) designation; Private institutions of higher education; Public and State controlled institutions of higher education",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73858/grant-investing-in-inclusive-prosperity-through-community-partnerships?page=5,The Grant Portal,2025-10-04T17:48:05.290567
Funding for Rural Community Projects Promoting Sustainability in Ontario (Canada),"View Full Grant Details Financial support for capital projects aimed at enhancing the quality of life in rural communities across Canada. The fund is designed to assist registered charities, non-profit organizations, municipalities, and First Nations, Métis, or Inuit governments/communities in communities with populations under 150,000 Supports projects promoting food recovery, agriculture, environmental impact reduction, accessibility, inclusion, and community building improvements are open to qualified candidates. Applicants must be registered charities, non-profits collaborating with municipalities, or Indigenous governments. Examples of eligible projects include: Construction or upgrades to community buildings Initiatives that support agriculture and food Projects that reduce environmental footprints Enhancements to accessibility and inclusion Food recovery or reduction of food waste initiatives View Full Grant Details",Ongoing,"$10,000","$25,000",Agriculture & Farming; Capital Funding; Community/Economic Development; Environment; Food & Nutrition; Municipalities; Non-Profit Support Services; Local Government; Municipalities; Native American Tribal Organizations (Federally recognized); Non-Profit Organizations with 501(c)(3) designation,Agriculture & Farming; Capital Funding; Community/Economic Development; Environment; Food & Nutrition; Municipalities; Non-Profit Support Services; Local Government; Municipalities; Native American Tribal Organizations (Federally recognized); Non-Profit Organizations with 501(c)(3) designation,https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73853/funding-for-rural-community-projects-promoting-sustainability?page=5,The Grant Portal,2025-10-04T17:48:11.631604
Grants for Collaborative Research in Social Sciences & Humanities in Ontario (Canada),"View Full Grant Details Grants aimed at fostering collaborative research partnerships between postsecondary institutions and non-academic organizations. These grants are designed to address immediate, organization-specific challenges by facilitating the co-creation and mobilization of knowledge. Successful applicants can receive financial support ranging from $7,000 to $25,000 for a one-year period. The funding is intended to assist in conducting research activities that inform decision-making within a single partner organization from the public, private, or not-for-profit sector. While cash or in-kind contributions from partner organizations are not mandatory, they are encouraged to support the partnership's activities. Eligibility Criteria: Eligible applicants include individual researchers or teams affiliated with Canadian postsecondary institutions that hold institutional eligibility. Co-applicants can be affiliated with Canadian postsecondary institutions, not-for-profit organizations, philanthropic foundations, think tanks, or municipal, territorial, or provincial governments. International co-applicants must be affiliated with postsecondary institutions. Postdoctoral researchers are eligible if they have a formal affiliation with an eligible institution at the time of application and maintain such an affiliation throughout the grant period. Students are not eligible for applicant or co-applicant status. Federal scientists must ensure that the proposed research is not related to their employer's mandate or normal duties. The grant program is open to organizations within Canada. Applicants should consult the official website for detailed information on eligibility requirements, application procedures, and submission deadlines. The program encourages partnerships that not only address immediate challenges but also contribute to long-term knowledge exchange and community engagement. View Full Grant Details",Ongoing,"$7,000","$25,000","Arts, Culture, History & Humanities; Business & Commerce; Higher Education; International; Municipalities; Non-Profit Support Services; Research & Evaluation; Science, Technology Research & Development; Local Government; Municipalities; Non-Profit Organizations with 501(c)(3) designation; Non-Profit Organizations with Fiscal Sponsor; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Private institutions of higher education; Public and State controlled institutions of higher education; State Governments","Arts, Culture, History & Humanities; Business & Commerce; Higher Education; International; Municipalities; Non-Profit Support Services; Research & Evaluation; Science, Technology Research & Development; Local Government; Municipalities; Non-Profit Organizations with 501(c)(3) designation; Non-Profit Organizations with Fiscal Sponsor; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Private institutions of higher education; Public and State controlled institutions of higher education; State Governments",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73845/grants-for-collaborative-research-in-social-sciences-humanities?page=5,The Grant Portal,2025-10-04T17:48:17.535726
Grants for Indigenous Cultural Revitalization and Reconciliation in Ontario (Canada),View Full Grant Details Grant program aimed at supporting grassroots efforts that promote cultural revitalization and reconciliation within communities. This funding opportunity is designed to empower local organizations and individuals to undertake projects that foster understanding and celebrate cultural heritage. Successful applicants can receive financial support to implement initiatives that contribute to cultural enrichment and community engagement. The program is intended to alleviate the financial burden of organizing events and activities that promote cultural awareness and unity. Eligibility Criteria: Eligible applicants typically include community-based organizations and individuals committed to advancing cultural understanding and reconciliation. Projects should demonstrate a clear plan for engaging the community and promoting cultural heritage. Preference is often given to initiatives that involve collaboration and have the potential for lasting impact. The grant program is available to organizations and individuals operating within specific regions. Interested parties should consult local resources to determine if their location qualifies and to understand the application process. The program encourages the development of projects that not only address immediate cultural needs but also contribute to long-term community cohesion. View Full Grant Details,Ongoing,,Open,"Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Community/Economic Development; Education; Non-Profit Support Services; Associations; Individuals; Non-Profit Organizations with 501(c)(3) designation","Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Community/Economic Development; Education; Non-Profit Support Services; Associations; Individuals; Non-Profit Organizations with 501(c)(3) designation",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73843/grants-for-indigenous-cultural-revitalization-and-reconciliation?page=5,The Grant Portal,2025-10-04T17:48:23.677709
Grants for Small Indigenous-Led Initiatives Empowering Communities in Ontario (Canada),"View Full Grant Details This grant opportunity is designed to support organizations aiming to enhance their internal capabilities and long-term sustainability. It offers funding to assist in strengthening various aspects of organizational development, such as leadership, strategic planning, staff development, and technological infrastructure. The goal is to enable organizations to improve their effectiveness, adapt to changing needs, and better serve their communities Capacity Building: Organizations can use the funds to invest in areas that will enhance their operational effectiveness and long-term sustainability. Strategic Support: The grant provides resources to assist in strategic planning and organizational development. Operational Improvement: Funding can be utilized to improve internal processes and infrastructure, leading to more efficient service delivery. Eligibility Criteria: Organization Type: Applicants must be registered nonprofit organizations. Organizations interested in applying should prepare a detailed proposal outlining their capacity-building needs and how the grant will help achieve their objectives. View Full Grant Details",Ongoing,,Open,"Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Community Development & Services; Community/Economic Development; Education; Non-Profit Support Services; Native American Tribal Organizations (Federally recognized); Non-Profit Organizations with 501(c)(3) designation","Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Community Development & Services; Community/Economic Development; Education; Non-Profit Support Services; Native American Tribal Organizations (Federally recognized); Non-Profit Organizations with 501(c)(3) designation",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73830/grants-for-small-indigenous-led-initiatives-empowering-communities?page=5,The Grant Portal,2025-10-04T17:48:29.053338
PhD Scholarships in Organizational Governance Research in Ontario (Canada),"View Full Grant Details This grant opportunity is designed to support research initiatives that contribute to the advancement of knowledge in specific fields. It provides funding to facilitate the execution of research projects, enabling researchers to explore new ideas, methodologies, and applications. Financial Support: The grant offers monetary assistance to cover various research-related expenses, including materials, travel, and other project costs. Capacity Building: Recipients have the opportunity to enhance their research skills and expand their professional networks. Institutional Collaboration: The grant encourages partnerships between researchers and institutions, fostering a collaborative approach to research. Eligibility Criteria: Academic Status: Applicants must be enrolled in a recognized academic program, typically at the doctoral or postdoctoral level. Research Focus: The proposed research should align with the thematic areas prioritized by the granting organization. Institutional Affiliation: Applicants are generally required to be affiliated with an institution that can administer the grant funds.(fastercapital.com) Previous Awards: Individuals who have previously received similar grants may be subject to specific eligibility conditions. Interested individuals are encouraged to prepare a comprehensive research proposal that outlines the objectives, methodology, and expected outcomes of their project. View Full Grant Details",Ongoing,"$20,000","$20,000","Awards; College Scholarship; Higher Education; Individual; Research & Evaluation; Science, Technology Research & Development; Students; Individuals","Awards; College Scholarship; Higher Education; Individual; Research & Evaluation; Science, Technology Research & Development; Students; Individuals",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73817/phd-scholarships-in-organizational-governance-research?page=5,The Grant Portal,2025-10-04T17:48:34.397982
Grant for Emerging Artists in Traditional Painting/Sculpture in Ontario (Canada),"View Full Grant Details This prestigious grant supports emerging artists in the early stages of their careers. Designed to foster artistic development, it provides financial assistance to individuals working in various visual art disciplines, helping them to focus on their creative practice without the burden of financial strain. The grant is open to artists from different backgrounds and encourages those pursuing independent projects that show promise and potential for growth. With a focus on nurturing talent, the program aims to enable recipients to enhance their technical and conceptual abilities. The financial support helps cover living expenses, studio costs, or materials, allowing artists to concentrate fully on their work. Applicants are typically required to submit a portfolio that demonstrates their artistic vision and commitment to their craft. This initiative plays a vital role in strengthening the cultural landscape by supporting innovative voices in the art world. View Full Grant Details",Ongoing,"$17,000","$20,000","Arts, Culture, History & Humanities; Financial Assistance; Individual; International; Individuals","Arts, Culture, History & Humanities; Financial Assistance; Individual; International; Individuals",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73771/grant-for-emerging-artists-in-traditional-paintingsculpture?page=5,The Grant Portal,2025-10-04T17:48:39.799772
Semi-Annual Support for Innovative Artists and Creators in Ontario (Canada),"View Full Grant Details Program offers award to support emerging and established talents across painting, sculpture, and photography. The award assists artists to focus on their work, improve their techniques, and effectively navigate the art world. Winners receive cash, editorial features, and digital accolades, while finalists earn their place in the spotlight. Eligibility is open; entries must be original creations of the submitting artist... View Full Grant Details",Ongoing,$500,$500,"Arts, Culture, History & Humanities; Awards; Individual; Other; Individuals","Arts, Culture, History & Humanities; Awards; Individual; Other; Individuals",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73712/semi-annual-support-for-innovative-artists-and-creators?page=5,The Grant Portal,2025-10-04T17:48:44.845343
Grant for Canadian Female STEM & Entrepreneurship Students in Ontario (Canada),"View Full Grant Details Offers scholarship grants to first-year female undergraduates in Canada pursuing STEM or entrepreneurship. By offering financial support for academic and business endeavors, the foundation hopes to empower the next generation of leaders. This initiative prioritizes applicants from Indigenous, BIPOC, and other underrepresented communities. Applicants must be first-year undergraduates who have demonstrated a commitment to academics, community service, and extracurricular activities. View Full Grant Details",Ongoing,"$2,500","$2,500",College Scholarship; Financial Assistance; Higher Education; Individual; Students; Women; Individuals,College Scholarship; Financial Assistance; Higher Education; Individual; Students; Women; Individuals,https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73693/grant-for-canadian-female-stem-entrepreneurship-students?page=5,The Grant Portal,2025-10-04T17:48:49.826391
Grant to Improve Environmental Outcomes in Local Communities in Ontario (Canada),"View Full Grant Details Grant to support community-based initiatives that promote marine conservation and environmental stewardship. Funding prioritizes programs that engage local residents in protecting ocean and coastal ecosystems through education, advocacy, restoration, and sustainable practices. The goal is to build awareness, inspire action, and foster long-term care for marine environments, ensuring healthy oceans for future generations while strengthening community ties to natural resources... View Full Grant Details",Ongoing,"$5,000","$12,000",Community Development & Services; Environment; Non-Profit Support Services; Quality of Life; Individuals; Non-Profit Organizations with 501(c)(3) designation,Community Development & Services; Environment; Non-Profit Support Services; Quality of Life; Individuals; Non-Profit Organizations with 501(c)(3) designation,https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73686/grant-to-improve-environmental-outcomes-in-local-communities?page=5,The Grant Portal,2025-10-04T17:48:54.468376
Grant to Support Career Pathways for Hardworking Individuals in Ontario (Canada),"View Full Grant Details Grant to support home-based services that enhance community well-being by providing in-home care, assistance, and support to individuals such as seniors, people with disabilities, and those recovering from illness. Funding prioritizes programs that promote independence, safety, and quality of life while reducing the need for institutional care. Projects may include healthcare, daily living assistance, and social support services. The goal is to strengthen community health by enabling individuals to live comfortably and securely in their own homes... View Full Grant Details",Ongoing,"$10,000","$10,000",Community Development & Services; Community/Economic Development; Housing; Small Business; Small Businesses,Community Development & Services; Community/Economic Development; Housing; Small Business; Small Businesses,https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73684/grant-to-support-career-pathways-for-hardworking-individuals?page=5,The Grant Portal,2025-10-04T17:48:59.340665
On this pageSkip this page navigation,,,,,,,,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.485870
Community Emergency Preparedness Grant (CEPG) 2025-2026,"The Community Emergency Preparedness Grant ( CEPG ) will help ensure Ontarians are safe, practiced and prepared before, during and after emergencies. The grant will provide funding to help communities purchase emergency supplies, equipment and services, such as: chain saws, generators, sandbag machines emergency training delivery, exercise planning and coordination, education The grant funds supplies, equipment and services that range from $5,000 to $50,000. Applicants must demonstrate how the activity or purchase will increase emergency preparedness and resilience for their organization and community. They must also demonstrate that they can complete the activity (i.e., procurement, training, plan development) by the program end date of August 31, 2026. Any funds not spent must be returned to the Ontario government.","Submit your application by October 28, 2025, 5:00 pm EST .",,,"Eligible applicants for Round 3 (2025 to 2026) include: municipalities with a population under 100,000 (Statistics Canada data from 2021) local services boards established under the Northern Services Boards Act Indigenous communities and organizations, including Tribal Councils, and other Indigenous service organizations non-municipal fire departments or entities providing fire protection services as defined in the Fire Protection and Prevention Act in unincorporated Ontario Ineligible applicants for Round 3 (2025 to 2026) include: organizations that previously received funding through the 2023 to 24 and the 2024 to 2025 Community Emergency Preparedness Grant or the Emergency Readiness and Capacity Building (ERaCB) program organizations without an emergency preparedness mandate or responsibility organizations that serve a fixed membership or community, not the community at large (for example, long term care homes) individuals Crown corporations federal, provincial and municipal agencies universities, colleges, school boards, schools and hospitals municipalities with a population over 100,000 (Statistics Canada data from 2021) direct applications from municipal fire departments or other municipal services (e.g. police departments) will not be accepted, however they may apply through an eligible municipality municipal fire departments may be eligible for other grant opportunities supported by the Government of Ontario, such as the Fire Protection Grant, see available funding opportunities",,,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.485870
Connecting Links Program 2026 - 2027,"The Ministry of Transportation’s Connecting Links Program provides dedicated provincial funding for road and bridge projects on designated connecting link highways. Connecting links are municipal roads that connect two ends of a provincial highway through a community or to an international or interprovincial border crossing. These are critical roadways that serve provincial and municipal interests, as they carry long-distance provincial highway traffic moving through communities, as well as local traffic within the community. The Connecting Links Program provides funding for eligible capital improvement costs – not maintenance. The responsibility for maintenance of connecting links lies with the municipality. Note: Only municipalities with connecting links are eligible for this grant.","Applications are due by Thursday, November 13, 2025, at 5:00 p.m. ( EDT ).",,,"There are 352 kilometres of Connecting Links, with 70 bridges in 77 Ontario municipalities. All 77 Ontario municipalities with designated Connecting Links are eligible for funding, a municipality with one designated Connecting Link can submit one project per year, a municipality that has more than one designated Connecting Link may submit a maximum of two projects per year. The Ministry of Transportation ( MTO ) will provide funding for up to 90 percent of total eligible project costs. The maximum amount of funding for eligible costs is $5 million per road project and $7 million per bridge project.",,,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.485870
Emissions Performance Program,The Emissions Performance Program (EPP) is a non-competitive program funded by compliance payments collected through the Emissions Performance Standards (EPS) regulation. The program supports projects to reduce greenhouse gas (GHG) emissions at eligible industrial facilities. The EPP will fund 2 types of projects: capital projects study-based projects,There are no funding deadlines for this program.,,,"Eligible facilities for the program: are registered in the Emissions Performance Standards Program have purchased Excess Emissions Units do not generate electricity as their primary industrial activity Examples of project activities that are eligible for funding include (but are not limited to): stationary equipment retrofits for energy efficiency and fuel switching mobile equipment retrofits for energy efficiency and fuel switching building envelope upgrades (insulation, windows, doors) heat recovery industrial process changes carbon capture and storage clean electricity and low-carbon fuel production for own use",,,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.485870
Fire Protection Services Reimbursement: Unincorporated Ontario,"This program is designed to provide municipalities with reimbursement opportunities related to the provision of emergency services in unincorporated areas of Ontario that occurred between March 17, 2025 - March 15, 2026. Reimbursement rates will be based on service rates utilized by the Ministry of Transportation for fire departments responses on provincial highways.","You must submit your application by March 23, 2026 at 5:00 p.m. EDT .",,,"The following emergency response call types may be eligible for reimbursement: on roads that are not considered provincial highways by the Ministry of Transportation: motor vehicle collisions hazmat vehicle fires false alarms public hazard assistance calls: carbon monoxide incidents public utility incidents electrical utility incidents natural, propane or other gas utility incidents structure fires rescue (defined as an emergency incident that primarily involves activities directed at locating and rescuing endangered persons and removing those persons to a safe location, this could also include, but is not limited to, the provisions of emergency medical care) the provisions of any emergency services listed above, within a provincial park in unincorporated Ontario",,,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.485870
Forest Sector Investment and Innovation Program,The Forest Sector Investment and Innovation Program provides funding for strategic investments in the forest sector that: enhance competitiveness support new market access provide benefits to Ontario’s broader forest sector strengthen regional economies Support is available under two project categories: business projects collaboration projects Learn more about the funding amounts and selection process.,"Applications are accepted on an ongoing basis. Funding will follow an open, competitive rounds-based application process. Learn more about current and upcoming rounds of evaluations .",,,"Business projects Support is available for Ontario-based projects with at least $3 million in eligible costs undertaken by for-profit manufacturers and processors of wood and forest biomass across Ontario, including: saw mills pulp and paper mills secondary wood manufacturers bio-economy projects Harvesting and resource extraction projects are not eligible for funding. Collaboration projects Support is available for Ontario-based projects with at least $3 million in eligible costs undertaken through a collaboration of: forest sector for-profit businesses not-for-profit research organizations forest industry associations academia Eligible collaborations should develop, diversify and transform Ontario’s forest sector through innovation in technology, process or products. A minimum of three partners are required (including at least one Ontario-based for-profit forestry/wood products company).",,,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.485870
Indigenous Community Capital Grants Program,"The Indigenous Community Capital Grants Program ( ICCGP ) funds the feasibility study, detailed design, renovation and construction, of Indigenous community infrastructure on-and off-reserve. The ICCGP supports infrastructure projects that contribute to economic development, create jobs and provide social benefit to the community or organization. ICCGP funding supports First Nations, Métis communities and Indigenous organizations by: assisting with infrastructure projects across Ontario supporting the realization of cultural, social, and economic development objectives improving the quality of life for Indigenous people by closing the socio-economic gap between Indigenous and non-Indigenous people in Ontario","You must submit your application by Thursday, November 13, 2025, by 5:00 p.m. EDT .",,,The following Indigenous communities and organizations in Ontario are eligible to apply for ICCGP funding: First Nation communities Métis communities Indigenous organizations,,,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.485870
Indigenous Participation Fund,,,,,,,,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.485870
Investment Ready: Certified Site designation,An Investment Ready: Certified Site designation is issued to properties that have successfully completed a set of program requirements to demonstrate that the property is primed for development and ready for investment. Learn more about the Investment Ready: Certified Site Program.,Applications can be received at any time.,,,The eligibility requirements can be found in the Certification Instructions and Requirements Guide . You can also request the Certification Instructions and Requirements Guide: by email: investmentready@ontario.ca by phone: 1-855-585-0475,,"Contact the Investment Ready team for your pre-application consultation. Submit your application package through Transfer Payment Ontario . We will notify you if your site has been approved and email you with your notification of acceptance. Complete the additional requirements within 2 years (the list is available in the Certification Instructions and Requirements Guide ). Receive a certification designation after all your assessments and documents have been completed, submitted and approved.",https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.485870
Municipal Energy Plan Program,"Through the Municipal Energy Plan Program, you can get funding to develop a plan that will help your community: improve energy efficiency reduce energy consumption and greenhouse gas emissions study the impact of future growth on energy needs foster renewable energy production and economic development Learn more about the Municipal Energy Plan Program",Applications are accepted on an ongoing basis,,,All Ontario municipalities (including regional municipalities) can apply.,,,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.485870
Ontario Transit Investment Fund,"The Ontario Transit Investment Fund ( OTIF ) provides annual funding of $5 million to deliver local and intercommunity transportation projects in unserved and underserved areas in Ontario, particularly in rural areas. OTIF provides time-limited, application-based funding for up to 5 years to support the start-up and growth of transit services across the province. Through OTIF , the province is providing eligible communities with the support they need to build safe and reliable transit services.",Applications are accepted on an ongoing basis.,,,"Eligible applicants are municipalities, non-profit organizations and Indigenous communities.",,,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.485870
Public Library Operating/Pay Equity/First Nation Salary Supplement Grant Programs (PLOG/PE/FNSS) 2025 - 2026,"There are three grants under this program. You can apply to the Public Library Operating ( PLOG ), Public Library Pay Equity ( PE ), or First Nation Salary Supplement ( FNSS ) grants through one single application form. Public Library Operating Grants ( PLOG ) Library operating grants are statutory under the Public Libraries Act . Library operating funding goes to: public library boards and First Nations public libraries municipalities, local service boards or First Nations that establish a contract for library service with a neighbouring public library board Public Library Pay Equity ( PE ) and First Nation Salary Supplement ( FNSS ) grants Applicants who receive a Public Library Operating Grant and have met all program terms and conditions may be eligible for Public Library Pay Equity and First Nation Salary Supplement grants.","Applications must be submitted by October 16, 2025, at 5:00 p.m. EDT .",,,The PLOG / PE / FNSS grants are restricted. Annual funding is distributed to recipients who: operate a public library or contract for library services with a public library board in accordance with the Public Libraries Act meet all grant program terms and conditions Public Libraries Act Information on the Public Libraries Act,,,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.485870
Reduce Impaired Driving Everywhere (RIDE) Grant,"The Government of Ontario established the RIDE Grant to provide funding to police services/boards to enhance local enforcement capabilities and to ensure a year-round provincial program to conduct RIDE spot check activities. The RIDE Grant assists police services/boards in offsetting their staff costs for implementing RIDE programs of sobriety checks in their jurisdictions. For the current call for applications, we will offer the RIDE Grant as a 4-year program (2025 - 2026 to 2028 - 2029) to: support enhanced local enforcement enable police services to effectively plan and implement RIDE programs in their communities in subsequent fiscal years","You must submit your application by August 29, 2025 , at 4:00 p.m. EDT .",,,"Funding is available to: municipal and First Nations police services Ontario Provincial Police ( OPP ) Detachments Eligible applicants may submit one application per police service (municipal and First Nations police services). Similarly, municipalities policed by the OPP may submit one joint application per OPP Detachment. For all OPP Detachments , applications must be reviewed by the OPP ’s Grant Support Team at OPP .Grant.Support.Team@ OPP .ca prior to submission in Transfer Payment Ontario ( TPON ). In addition, these applications must be submitted through the lead municipality’s TPON account.",,,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.501558
Regional Development Program: Eastern Ontario Development Fund and Southwestern Ontario Development Fund,,,,,,,,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.501558
Regional Development Program: Advanced Manufacturing and Innovation Competitiveness (AMIC) Stream,,,,,,,,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.501558
Site Readiness Program,The Site Readiness Program supports investment attraction and business expansion opportunities in Ontario. The program provides funding assistance to successful Applicants to help prepare their eligible industrial properties for potential investment opportunities. Learn more about the Site Readiness Program.,Applications can be received at any time.,,,The eligibility requirements can be found in the Site Readiness Program Guide. You can also request the Program Guide: by email: investmentready@ontario.ca by phone: 1-855-585-0475,,contact the Investment Ready Team for your pre-application consultation submit your application package through Tranfer Payment Ontario we will notify you if your site has been approved and email you with your notification of acceptance complete the additional requirements within 1 year,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.501558
Skills Development Fund: Capital Stream,The Skills Development Fund ( SDF ) Capital Stream offers funding to eligible organizations to: build new training centres upgrade existing training centres convert an existing building into a training centre Learn about our SEED and GROW funding pathways under this stream.,"Continuous intake, applications will be assessed on a rolling basis until funding is fully allocated.",,,"The following organizations are eligible to apply to the SDF Capital Stream as a primary applicant: employers in Ontario (other than the educational organizations listed as being eligible to apply as partners) minister-approved, non-college apprenticeship program training delivery agents non-profit organizations including Indigenous band offices and Indigenous Skills and Employment Training agreement holders professional, industry or employer associations trade unions or union-affiliated organizations municipalities hospitals District Social Services Administration Boards Consolidated Municipal Service Managers The following educational organizations are eligible to apply to the SDF Capital Stream as a partner with one or more of the eligible primary applicant organizations: district school boards publicly assisted colleges, universities or Indigenous Institutes in Ontario career colleges private universities with consent from the Ministry of Colleges and Universities to offer degrees",,,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Ontario Government,2025-10-04T17:49:05.501558
